Rank,Title,Year,Duration,Genre1,Genre2,Genre3,Rating,Votes,Director,Actor1,Actor2,Actor3,Actor4
183,Maximum Risk,1996,101,Action, Thriller,,5.5,22957,Ringo Lam,Jean-Claude Van Damme,Natasha Henstridge,Jean-Hugues Anglade,Zach Grenier
184,The Great White Hype,1996,91,Comedy, Sport,,5.5,10427,Reginald Hudlin,Samuel L. Jackson,Jeff Goldblum,Damon Wayans,Peter Berg
185,High School High,1996,86,Comedy, Crime, Romance,5.5,13745,Hart Bochner,Jon Lovitz,Tia Carrere,Louise Fletcher,Mekhi Phifer
186,All Dogs Go to Heaven 2,1996,82,Animation, Adventure, Family,5.5,6311,Larry Leker,Paul Sabella,Charlie Sheen,Sheena Easton,Dom DeLuise
187,Space Truckers,1996,95,Adventure, Comedy, Sci-Fi,5.4,8164,Stuart Gordon,Tim Loane,Ian Beattie,Olwen Fouéré,Shane Rimmer
188,Bordello of Blood,1996,87,Comedy, Fantasy, Horror,5.4,15226,Gilbert Adler,Dennis Miller,Erika Eleniak,Angie Everhart,Chris Sarandon
189,D3: The Mighty Ducks,1996,104,Action, Comedy, Drama,5.4,27713,Robert Lieberman,Emilio Estevez,Jeffrey Nordling,David Selby,Heidi Kling
190,Diabolique,1996,107,Drama, Horror, Mystery,5.4,14824,Jeremiah S. Chechik,Sharon Stone,Isabelle Adjani,Chazz Palminteri,Kathy Bates
191,Feeling Minnesota,1996,99,Comedy, Crime, Drama,5.4,11301,Steven Baigelman,Keanu Reeves,Vincent D'Onofrio,Cameron Diaz,Delroy Lindo
192,The Glimmer Man,1996,91,Action, Comedy, Crime,5.4,20643,John Gray,Steven Seagal,Keenen Ivory Wayans,Bob Gunton,Brian Cox
193,Fled,1996,98,Action, Adventure, Crime,5.4,9326,Kevin Hooks,Laurence Fishburne,Stephen Baldwin,Will Patton,Robert John Burke
194,Dunston Checks In,1996,88,Adventure, Comedy, Family,5.3,12954,Ken Kwapis,Jason Alexander,Faye Dunaway,Eric Lloyd,Rupert Everett
195,Spy Hard,1996,81,Action, Comedy,,5.3,38951,Rick Friedberg,Leslie Nielsen,Nicollette Sheridan,Charles Durning,Marcia Gay Harden
196,Flipper,1996,95,Adventure, Family,,5.3,11301,Alan Shapiro,Shelly Hatton,Paul Hogan,Elijah Wood,Jonathan Banks
197,The Dentist,1996,92,Horror, Thriller,,5.3,9851,Brian Yuzna,Corbin Bernsen,Linda Hoffman,Michael Stadvec,Ken Foree
198,Girl 6,1996,108,Comedy, Drama,,5.3,6489,Spike Lee,Theresa Randle,Isaiah Washington,Spike Lee,Jenifer Lewis
199,Celtic Pride,1996,91,Comedy, Sport,,5.3,10295,Tom DeCerchio,Damon Wayans,Daniel Stern,Dan Aykroyd,Gail O'Grady
200,Bogus,1996,110,Comedy, Family, Fantasy,5.3,6834,Norman Jewison,Whoopi Goldberg,Gérard Depardieu,Haley Joel Osment,Andrea Martin
201,First Kid,1996,101,Comedy, Family,,5.2,11193,David Mickey Evans,Sinbad,Brock Pierce,Blake Boyd,Timothy Busfield
202,The Adventures of Pinocchio,1996,96,Adventure, Drama, Family,5.2,6089,Steve Barron,Martin Landau,Jonathan Taylor Thomas,Geneviève Bujold,Udo Kier
203,Eddie,1996,100,Comedy, Sport,,5.2,11203,Steve Rash,Whoopi Goldberg,Frank Langella,Dennis Farina,Richard Jenkins
204,Two If by Sea,1996,96,Comedy, Crime, Romance,5.2,6127,Bill Bennett,Sandra Bullock,Denis Leary,Stephen Dillane,Yaphet Kotto
205,The Phantom,1996,100,Action, Adventure, Comedy,5.0,34770,Simon Wincer,Billy Zane,Kristy Swanson,Treat Williams,Catherine Zeta-Jones
206,Hellraiser: Bloodline,1996,85,Horror, Sci-Fi,,5.0,23162,Kevin Yagher,Bruce Ramsay,Valentina Vargas,Doug Bradley,Charlotte Chatton
207,The Pallbearer,1996,98,Comedy, Romance,,5.0,11294,Matt Reeves,David Schwimmer,Gwyneth Paltrow,Michael Rapaport,Toni Collette
208,Carpool,1996,89,Comedy,,,5.0,5077,Arthur Hiller,Tom Arnold,David Paymer,Rhea Perlman,Rod Steiger
209,Big Bully,1996,90,Comedy, Thriller,,4.7,5311,Steve Miner,Rick Moranis,Tom Arnold,Julianne Phillips,Carol Kane
210,The Crow: City of Angels,1996,84,Action, Crime, Fantasy,4.6,20862,Tim Pope,Vincent Perez,Mia Kirshner,Richard Brooks,Iggy Pop
211,Striptease,1996,115,Comedy, Crime, Drama,4.5,46650,Andrew Bergman,Demi Moore,Burt Reynolds,Armand Assante,Ving Rhames
212,The Island of Dr. Moreau,1996,96,Horror, Sci-Fi, Thriller,4.5,34322,John Frankenheimer,Richard Stanley,David Thewlis,Marlon Brando,Val Kilmer
213,Bio-Dome,1996,88,Comedy,,,4.4,28492,Jason Bloom,Pauly Shore,Stephen Baldwin,William Atherton,Denise Dowse
214,Poison Ivy II,1996,106,Drama, Thriller,,4.4,6117,Anne Goursaud,Alyssa Milano,Johnathon Schaech,Xander Berkeley,Belinda Bauer
215,The Stupids,1996,94,Adventure, Comedy,,4.3,6976,John Landis,Tom Arnold,Jessica Lundy,Bug Hall,Alex McKenna
216,Mr. Wrong,1996,96,Comedy,,,3.8,5236,Nick Castle,Ellen DeGeneres,Bill Pullman,Joan Cusack,Dean Stockwell
217,Barb Wire,1996,98,Action, Sci-Fi,,3.5,30063,David Hogan,Pamela Anderson,Amir AboulEla,Adriana Alexander,David Andriole
218,Kazaam,1996,93,Comedy, Family, Fantasy,3.1,24889,Paul Michael Glaser,Shaquille O'Neal,Francis Capra,Ally Walker,James Acheson
219,Ed,1996,94,Comedy, Family, Sport,2.7,8659,Bill Couturié,Matt LeBlanc,Jayne Brook,Gene Ross,Paul Hewitt
220,Santa with Muscles,1996,97,Comedy,,,2.6,9241,John Murlowski,Hulk Hogan,Don Stark,Robin Curtis,Garrett Morris
221,Lawnmower Man 2: Beyond Cyberspace,1996,93,Action, Sci-Fi, Thriller,2.5,9810,Farhad Mann,Patrick Bergin,Matt Frewer,Austin O'Brien,Ely Pouget
1,Life Is Beautiful,1997,116,Comedy, Drama, Romance,8.6,707128,Roberto Benigni,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano
2,Iruvar,1997,140,Biography, Drama,,8.4,6425,Mani Ratnam,Mohanlal,Aishwarya Rai Bachchan,Prakash Raj,Gautami
3,Good Will Hunting,1997,126,Drama, Romance,,8.3,995380,Gus Van Sant,Robin Williams,Matt Damon,Ben Affleck,Stellan Skarsgård
4,Princess Mononoke,1997,134,Animation, Action, Adventure,8.3,403605,Hayao Miyazaki,Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,Billy Crudup
5,L.A. Confidential,1997,138,Crime, Drama, Mystery,8.2,590545,Curtis Hanson,Kevin Spacey,Russell Crowe,Guy Pearce,Kim Basinger
6,Children of Heaven,1997,89,Drama, Family, Sport,8.2,76238,Majid Majidi,Mohammad Amir Naji,Amir Farrokh Hashemian,Bahare Seddiqi,Nafise Jafar-Mohammadi
7,Neon Genesis Evangelion: The End of Evangelion,1997,87,Animation, Action, Drama,8.1,57847,Hideaki Anno,Kazuya Tsurumaki,Megumi Ogata,Megumi Hayashibara,Yûko Miyamura
8,Innocence,1997,110,Drama,,,8.1,18201,Zeki Demirkubuz,Güven Kiraç,Haluk Bilginer,Derya Alabora,Yalcin Cakmak
9,Perfect Blue,1997,81,Animation, Crime, Drama,8.0,82196,Satoshi Kon,Junko Iwao,Rica Matsumoto,Shinpachi Tsuji,Masaaki Ôkura
10,Titanic,1997,194,Drama, Romance,,7.9,1212449,James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates
11,Boogie Nights,1997,155,Drama,,,7.9,271344,Paul Thomas Anderson,Mark Wahlberg,Julianne Moore,Burt Reynolds,Luis Guzmán
12,Border,1997,176,Action, Drama, History,7.9,16719,J.P. Dutta,Sunny Deol,Suniel Shetty,Akshaye Khanna,Jackie Shroff
13,Gattaca,1997,106,Drama, Sci-Fi, Thriller,7.8,310609,Andrew Niccol,Ethan Hawke,Uma Thurman,Jude Law,Gore Vidal
14,Knockin' on Heaven's Door,1997,87,Action, Crime, Comedy,7.8,31862,Thomas Jahn,Til Schweiger,Jan Josef Liefers,Thierry van Werveke,Moritz Bleibtreu
15,Brother,1997,99,Action, Crime, Drama,7.8,22613,Aleksey Balabanov,Sergey Bodrov,Viktor Sukhorukov,Svetlana Pismichenko,Mariya Zhukova
16,The Game,1997,129,Drama, Mystery, Thriller,7.7,406583,David Fincher,Michael Douglas,Deborah Kara Unger,Sean Penn,James Rebhorn
17,As Good as It Gets,1997,139,Comedy, Drama, Romance,7.7,305789,James L. Brooks,Jack Nicholson,Helen Hunt,Greg Kinnear,Cuba Gooding Jr.
18,Donnie Brasco,1997,127,Biography, Crime, Drama,7.7,315214,Mike Newell,Al Pacino,Johnny Depp,Michael Madsen,Bruno Kirby
19,Open Your Eyes,1997,119,Drama, Mystery, Sci-Fi,7.7,70869,Alejandro Amenábar,Eduardo Noriega,Penélope Cruz,Chete Lera,Fele Martínez
20,Happy Together,1997,96,Drama, Romance,,7.7,31275,Kar-Wai Wong,Leslie Cheung,Tony Leung Chiu-wai,Chang Chen,Gregory Dayton
21,Taste of Cherry,1997,95,Drama,,,7.7,32909,Abbas Kiarostami,Homayoun Ershadi,Abdolrahman Bagheri,Afshin Khorshid Bakhtiari,Safar Ali Moradi
22,Fireworks,1997,103,Crime, Drama, Romance,7.7,31587,Takeshi Kitano,Takeshi Kitano,Kayoko Kishimoto,Ren Ôsugi,Susumu Terajima
23,Character,1997,122,Crime, Drama, Mystery,7.7,11033,Mike van Diem,Pavlik Jansen op de Haar,Jan Decleir,Fedja van Huêt,Betty Schuurman
24,The Fifth Element,1997,126,Action, Adventure, Sci-Fi,7.6,483326,Luc Besson,Bruce Willis,Milla Jovovich,Gary Oldman,Ian Holm
25,Lost Highway,1997,134,Mystery, Thriller,,7.6,146460,David Lynch,Bill Pullman,Patricia Arquette,John Roselius,Louis Eppolito
26,The Castle,1997,85,Comedy, Drama,,7.6,16763,Rob Sitch,Michael Caton,Anne Tenney,Stephen Curry,Anthony Simcoe
27,Agir Roman,1997,120,Crime, Drama, Romance,7.6,11438,Mustafa Altioklar,Okan Bayülgen,Müjde Ar,Savas Dinçel,Mustafa Ugurlu
28,Three Men and a Leg,1997,100,Comedy,,,7.6,9634,Aldo Baglio,Giacomo Poretti,Giovanni Storti,Massimo Venier,Aldo Baglio
29,The Thief,1997,96,Crime, Drama,,7.6,5423,Pavel Chukhray,Vladimir Mashkov,Yekaterina Rednikova,Mikhail Filipchuk,Dima Chigaryov
30,Gadjo dilo,1997,102,Comedy, Drama, Music,7.6,8114,Tony Gatlif,Romain Duris,Rona Hartner,Izidor Serban,Ovidiu Balan
31,The Devil's Advocate,1997,144,Drama, Mystery, Thriller,7.5,381768,Taylor Hackford,Keanu Reeves,Al Pacino,Charlize Theron,Jeffrey Jones
32,Contact,1997,150,Drama, Mystery, Sci-Fi,7.5,280794,Robert Zemeckis,Jodie Foster,Matthew McConaughey,Tom Skerritt,John Hurt
33,Jackie Brown,1997,154,Crime, Drama, Thriller,7.5,356902,Quentin Tarantino,Pam Grier,Samuel L. Jackson,Robert Forster,Bridget Fonda
34,Funny Games,1997,108,Crime, Drama, Thriller,7.5,78035,Michael Haneke,Susanne Lothar,Ulrich Mühe,Arno Frisch,Frank Giering
35,The Sweet Hereafter,1997,112,Drama,,,7.5,35852,Atom Egoyan,Ian Holm,Sarah Polley,Caerthan Banks,Tom McCamus
36,Cure,1997,111,Crime, Horror, Mystery,7.5,17776,Kiyoshi Kurosawa,Masato Hagiwara,Kôji Yakusho,Tsuyoshi Ujiki,Anna Nakagawa
37,Kiler,1997,104,Action, Comedy, Crime,7.5,7311,Juliusz Machulski,Cezary Pazura,Malgorzata Kozuchowska,Jerzy Stuhr,Janusz Rewinski
38,Ma vie en rose,1997,88,Drama,,,7.5,8915,Alain Berliner,Georges Du Fresne,Michèle Laroque,Jean-Philippe Écoffey,Hélène Vincent
39,The Ice Storm,1997,112,Drama,,,7.4,57801,Ang Lee,Kevin Kline,Joan Allen,Sigourney Weaver,Henry Czerny
40,Lawn Dogs,1997,101,Drama,,,7.4,8286,John Duigan,Sam Rockwell,Kathleen Quinlan,Mischa Barton,Christopher McDonald
41,Chachi 420,1997,155,Comedy, Drama, Family,7.4,13314,Kamal Haasan,Kamal Haasan,Amrish Puri,Om Puri,Tabu
42,Four Days in September,1997,110,Action, Drama, History,7.4,5151,Bruno Barreto,Alan Arkin,Pedro Cardoso,Fernanda Torres,Luiz Fernando Guimarães
43,Starship Troopers,1997,129,Action, Adventure, Sci-Fi,7.3,302967,Paul Verhoeven,Casper Van Dien,Denise Richards,Dina Meyer,Jake Busey
44,Men in Black,1997,98,Action, Adventure, Comedy,7.3,580757,Barry Sonnenfeld,Tommy Lee Jones,Will Smith,Linda Fiorentino,Vincent D'Onofrio
45,Hercules,1997,93,Animation, Adventure, Comedy,7.3,238896,Ron Clements,John Musker,Tate Donovan,Susan Egan,James Woods
46,Face/Off,1997,138,Action, Crime, Sci-Fi,7.3,385102,John Woo,John Travolta,Nicolas Cage,Joan Allen,Alessandro Nivola
47,Amistad,1997,155,Biography, Drama, History,7.3,79512,Steven Spielberg,Djimon Hounsou,Matthew McConaughey,Anthony Hopkins,Morgan Freeman
48,Grosse Pointe Blank,1997,107,Action, Comedy, Crime,7.3,96469,George Armitage,John Cusack,Minnie Driver,Dan Aykroyd,Joan Cusack
49,Deconstructing Harry,1997,96,Comedy,,,7.3,46188,Woody Allen,Woody Allen,Judy Davis,Julia Louis-Dreyfus,Stephanie Roth Haberle
50,Live Flesh,1997,103,Drama,,,7.3,32512,Pedro Almodóvar,Liberto Rabal,Francesca Neri,Javier Bardem,Ángela Molina
51,Nil by Mouth,1997,128,Drama,,,7.3,9741,Gary Oldman,Ray Winstone,Kathy Burke,Charlie Creed-Miles,Laila Morse
52,Love Jones,1997,109,Drama, Romance,,7.3,5210,Theodore Witcher,Larenz Tate,Nia Long,Isaiah Washington,Lisa Nicole Carson
53,The Eel,1997,117,Drama,,,7.3,6151,Shôhei Imamura,Kôji Yakusho,Misa Shimizu,Mitsuko Baishô,Akira Emoto
54,Gupt: The Hidden Truth,1997,173,Action, Crime, Mystery,7.3,5326,Rajiv Rai,Bobby Deol,Manisha Koirala,Kajol,Prem Chopra
55,Cube,1997,90,Drama, Horror, Mystery,7.2,237065,Vincenzo Natali,Nicole de Boer,Maurice Dean Wint,David Hewlett,Andrew Miller
56,The Rainmaker,1997,135,Crime, Drama, Thriller,7.2,78739,Francis Ford Coppola,Matt Damon,Danny DeVito,Claire Danes,Jon Voight
57,Chasing Amy,1997,113,Comedy, Drama, Romance,7.2,140468,Kevin Smith,Ben Affleck,Joey Lauren Adams,Ethan Suplee,Scott Mosier
58,The Full Monty,1997,91,Comedy, Drama,,7.2,109048,Peter Cattaneo,Robert Carlyle,Tom Wilkinson,Mark Addy,Wim Snape
59,Eve's Bayou,1997,108,Drama,,,7.2,10833,Kasi Lemmons,Samuel L. Jackson,Jurnee Smollett,Meagan Good,Lynn Whitfield
60,Mrs. Brown,1997,101,Biography, Drama, History,7.2,15052,John Madden,Judi Dench,Billy Connolly,Geoffrey Palmer,Antony Sher
61,The Spanish Prisoner,1997,110,Drama, Mystery, Thriller,7.2,25052,David Mamet,Steve Martin,Ben Gazzara,Campbell Scott,Ricky Jay
62,The Apostle,1997,134,Drama,,,7.2,14475,Robert Duvall,Robert Duvall,Todd Allen,Paul Bagget,Lenore Banks
63,Insomnia,1997,96,Crime, Mystery, Thriller,7.2,14657,Erik Skjoldbjærg,Stellan Skarsgård,Sverre Anker Ousdal,Maria Mathiesen,Gisken Armand
64,Rosewood,1997,140,Action, Drama, History,7.2,8530,John Singleton,Jon Voight,Ving Rhames,Don Cheadle,Bruce McGill
65,Neon Genesis Evangelion: Death & Rebirth,1997,101,Animation, Action, Drama,7.2,14792,Hideaki Anno,Masayuki,Kazuya Tsurumaki,Megumi Ogata,Megumi Hayashibara
66,Anastasia,1997,94,Animation, Adventure, Drama,7.1,128389,Don Bluth,Gary Goldman,Meg Ryan,John Cusack,Christopher Lloyd
67,Seven Years in Tibet,1997,136,Adventure, Biography, Drama,7.1,148580,Jean-Jacques Annaud,Brad Pitt,David Thewlis,BD Wong,Mako
68,Wag the Dog,1997,97,Comedy, Drama,,7.1,85918,Barry Levinson,Dustin Hoffman,Robert De Niro,Anne Heche,Woody Harrelson
69,The Wings of the Dove,1997,102,Drama, Romance,,7.1,12681,Iain Softley,Helena Bonham Carter,Linus Roache,Alex Jennings,Charlotte Rampling
70,Henry Fool,1997,137,Comedy, Drama,,7.1,7471,Hal Hartley,Thomas Jay Ryan,James Urbaniak,Parker Posey,Maria Porter
71,Bent,1997,105,Drama, History, Romance,7.1,8521,Sean Mathias,Lothaire Bluteau,Clive Owen,Mick Jagger,Brian Webber
72,In the Company of Men,1997,97,Comedy, Drama,,7.1,13959,Neil LaBute,Aaron Eckhart,Matt Malloy,Stacy Edwards,Michael Martin
73,The Butcher Boy,1997,110,Comedy, Drama,,7.1,11183,Neil Jordan,Stephen Rea,Fiona Shaw,Eamonn Owens,Alan Boyle
74,Career Girls,1997,83,Comedy, Drama,,7.1,6008,Mike Leigh,Katrin Cartlidge,Lynda Steadman,Kate Byers,Mark Benton
75,Austin Powers: International Man of Mystery,1997,89,Adventure, Comedy,,7.0,246294,Jay Roach,Mike Myers,Elizabeth Hurley,Michael York,Mimi Rogers
76,Cop Land,1997,105,Crime, Drama, Thriller,7.0,99318,James Mangold,Sylvester Stallone,Harvey Keitel,Ray Liotta,Robert De Niro
77,Breakdown,1997,93,Crime, Drama, Mystery,7.0,57414,Jonathan Mostow,Kurt Russell,J.T. Walsh,Kathleen Quinlan,M.C. Gainey
78,Kundun,1997,134,Biography, Drama, History,7.0,29096,Martin Scorsese,Tenzin Thuthob Tsarong,Gyurme Tethong,Tulku Jamyang Kunga Tenzin,Tenzin Yeshi Paichang
79,Soul Food,1997,115,Comedy, Drama,,7.0,8551,George Tillman Jr.,Vanessa Williams,Vivica A. Fox,Nia Long,Michael Beach
80,The Boxer,1997,113,Drama, Romance, Sport,7.0,21375,Jim Sheridan,Daniel Day-Lewis,Emily Watson,Daragh Donnelly,Frank Coughlan
81,Dil To Pagal Hai,1997,180,Comedy, Drama, Musical,7.0,23266,Yash Chopra,Shah Rukh Khan,Madhuri Dixit,Karisma Kapoor,Akshay Kumar
82,Ulee's Gold,1997,113,Drama,,,7.0,7347,Victor Nunez,Peter Fonda,Patricia Richardson,Christine Dunford,Tom Wood
83,The Small Town,1997,85,Drama,,,7.0,6112,Nuri Bilge Ceylan,Mehmet Emin Toprak,Havva Saglam,Cihat Bütün,Fatma Ceylan
84,Con Air,1997,115,Action, Crime, Thriller,6.9,306440,Simon West,Nicolas Cage,John Cusack,John Malkovich,Colm Meaney
85,Liar Liar,1997,86,Comedy, Fantasy,,6.9,317033,Tom Shadyac,Jim Carrey,Maura Tierney,Amanda Donohoe,Jennifer Tilly
86,The Edge,1997,117,Action, Adventure, Drama,6.9,75769,Lee Tamahori,Anthony Hopkins,Alec Baldwin,Elle Macpherson,Harold Perrineau
87,Private Parts,1997,109,Biography, Comedy, Drama,6.9,38152,Betty Thomas,Howard Stern,Mary McCormack,Robin Quivers,Fred Norris
88,Cats Don't Dance,1997,75,Animation, Comedy, Family,6.9,8003,Mark Dindal,Scott Bakula,Jasmine Guy,Natalie Cole,Ashley Peldon
89,Suicide Kings,1997,106,Comedy, Crime, Drama,6.9,28246,Peter O'Fallon,Christopher Walken,Denis Leary,Sean Patrick Flanery,Mark Watson
90,Affliction,1997,114,Drama, Mystery, Thriller,6.9,17933,Paul Schrader,Nick Nolte,Sissy Spacek,James Coburn,Brigid Tierney
91,Wilde,1997,118,Biography, Drama, Romance,6.9,17537,Brian Gilbert,Stephen Fry,Jude Law,Vanessa Redgrave,Jennifer Ehle
92,Gridlock'd,1997,91,Comedy, Crime, Drama,6.9,16091,Vondie Curtis-Hall,Tupac Shakur,Tim Roth,Thandiwe Newton,Charles Fleischer
93,Pardes,1997,191,Drama, Musical, Romance,6.9,15322,Subhash Ghai,Shah Rukh Khan,Mahima Chaudhry,Amrish Puri,Apurva Agnihotri
94,Lolita,1997,137,Drama, Romance,,6.8,62031,Adrian Lyne,Jeremy Irons,Dominique Swain,Melanie Griffith,Frank Langella
95,Selena,1997,127,Biography, Drama, Music,6.8,29985,Gregory Nava,Jennifer Lopez,Edward James Olmos,Jon Seda,Jackie Guerra
96,Prefontaine,1997,106,Biography, Drama, Romance,6.8,7466,Steve James,Jared Leto,R. Lee Ermey,Ed O'Neill,Breckin Meyer
97,Paradise Road,1997,122,Drama, History, War,6.8,5709,Bruce Beresford,Glenn Close,Frances McDormand,Pauline Collins,Cate Blanchett
98,The Assignment,1997,115,Action, Crime, Thriller,6.8,9632,Christian Duguay,Aidan Quinn,Donald Sutherland,Ben Kingsley,Claudia Ferri
99,Ishq,1997,161,Action, Comedy, Drama,6.8,11226,Indra Kumar,Aamir Khan,Ajay Devgn,Juhi Chawla,Kajol
100,Steam: The Turkish Bath,1997,94,Drama, Romance,,6.8,6908,Ferzan Özpetek,Alessandro Gassmann,Francesca d'Aloja,Carlo Cecchi,Halil Ergün
101,Absolute Power,1997,121,Action, Crime, Drama,6.7,57376,Clint Eastwood,Clint Eastwood,Gene Hackman,Ed Harris,Laura Linney
102,U Turn,1997,125,Crime, Drama, Thriller,6.7,53223,Oliver Stone,Sean Penn,Jennifer Lopez,Nick Nolte,Billy Bob Thornton
103,Conspiracy Theory,1997,135,Action, Mystery, Thriller,6.7,103135,Richard Donner,Mel Gibson,Julia Roberts,Patrick Stewart,Cylk Cozart
104,Nothing to Lose,1997,98,Action, Adventure, Comedy,6.7,47795,Steve Oedekerk,Martin Lawrence,Tim Robbins,John C. McGinley,Giancarlo Esposito
105,Fever Pitch,1997,102,Comedy, Drama, Romance,6.7,11351,David Evans,Colin Firth,Ruth Gemmell,Luke Aikman,Bea Guard
106,Twin Town,1997,99,Comedy, Drama,,6.7,6161,Kevin Allen,Llyr Ifans,Rhys Ifans,Dorien Thomas,Dougray Scott
107,Welcome to Sarajevo,1997,103,Drama, War,,6.7,7654,Michael Winterbottom,Stephen Dillane,Woody Harrelson,Marisa Tomei,Emira Nusevic
108,Yes Boss,1997,163,Comedy, Drama, Musical,6.7,13705,Aziz Mirza,Shah Rukh Khan,Juhi Chawla,Aditya Pancholi,Kashmira Shah
109,Event Horizon,1997,96,Horror, Sci-Fi, Thriller,6.6,186543,Paul W.S. Anderson,Laurence Fishburne,Sam Neill,Kathleen Quinlan,Joely Richardson
110,Gummo,1997,89,Comedy, Drama,,6.6,36383,Harmony Korine,Nick Sutton,Jacob Sewell,Lara Tosh,Jacob Reynolds
111,Kiss the Girls,1997,115,Crime, Drama, Mystery,6.6,76847,Gary Fleder,Morgan Freeman,Ashley Judd,Cary Elwes,Alex McArthur
112,Midnight in the Garden of Good and Evil,1997,155,Crime, Drama, Mystery,6.6,40305,Clint Eastwood,John Cusack,Kevin Spacey,Jack Thompson,Irma P. Hall
113,The Man Who Knew Too Little,1997,94,Comedy, Crime, Drama,6.6,33298,Jon Amiel,Bill Murray,Joanne Whalley,Peter Gallagher,Richard Wilson
114,One Eight Seven,1997,119,Drama, Thriller,,6.6,24301,Kevin Reynolds,Samuel L. Jackson,John Heard,Kelly Rowan,Clifton Collins Jr.
115,The House of Yes,1997,85,Comedy, Drama,,6.6,8324,Mark Waters,Parker Posey,Josh Hamilton,Tori Spelling,Freddie Prinze Jr.
116,Clockwatchers,1997,96,Comedy, Drama,,6.6,5878,Jill Sprecher,Toni Collette,Parker Posey,Lisa Kudrow,Alanna Ubach
117,Drive,1997,100,Action, Adventure, Sci-Fi,6.6,6578,Steve Wang,Mark Dacascos,Kadeem Hardison,John Pyper-Ferguson,Brittany Murphy
118,Oscar and Lucinda,1997,132,Drama, Romance,,6.6,7045,Gillian Armstrong,Ralph Fiennes,Cate Blanchett,Ciarán Hinds,Tom Wilkinson
119,Shooting Fish,1997,103,Comedy, Crime, Romance,6.6,7738,Stefan Schwartz,Dan Futterman,Stuart Townsend,Kate Beckinsale,Rowena Cooper
120,The Lost World: Jurassic Park,1997,129,Action, Adventure, Sci-Fi,6.5,426625,Steven Spielberg,Jeff Goldblum,Julianne Moore,Pete Postlethwaite,Vince Vaughn
121,Air Force One,1997,124,Action, Drama, Thriller,6.5,201578,Wolfgang Petersen,Harrison Ford,Gary Oldman,Glenn Close,Wendy Crewson
122,Tomorrow Never Dies,1997,119,Action, Adventure, Thriller,6.5,198534,Roger Spottiswoode,Pierce Brosnan,Jonathan Pryce,Michelle Yeoh,Teri Hatcher
123,Mousehunt,1997,98,Comedy,,,6.5,58201,Gore Verbinski,Nathan Lane,Lee Evans,Vicki Lewis,Maury Chaykin
124,Bean,1997,89,Adventure, Comedy, Family,6.5,107493,Mel Smith,Rowan Atkinson,Peter MacNicol,John Mills,Pamela Reed
125,FairyTale: A True Story,1997,99,Drama, Family, Fantasy,6.5,6137,Charles Sturridge,Paul McGann,Florence Hoath,Elizabeth Earl,Harvey Keitel
126,Dobermann,1997,103,Action, Crime, Thriller,6.5,18230,Jan Kounen,Vincent Cassel,Tchéky Karyo,Monica Bellucci,Antoine Basler
127,The MatchMaker,1997,97,Comedy, Romance,,6.5,5770,Mark Joffe,Janeane Garofalo,David O'Hara,Milo O'Shea,Jay O. Sanders
128,Deceiver,1997,106,Crime, Drama, Mystery,6.5,6790,Jonas Pate,Josh Pate,Tim Roth,Chris Penn,Michael Rooker
129,The Jackal,1997,124,Action, Crime, Drama,6.4,120045,Michael Caton-Jones,Bruce Willis,Richard Gere,Sidney Poitier,Diane Venora
130,In & Out,1997,90,Comedy, Romance,,6.4,42695,Frank Oz,Kevin Kline,Joan Cusack,Tom Selleck,Matt Dillon
131,Inventing the Abbotts,1997,110,Drama, Romance,,6.4,13389,Pat O'Connor,Liv Tyler,Jennifer Connelly,Joaquin Phoenix,Billy Crudup
132,Nowhere,1997,82,Comedy, Drama, Sci-Fi,6.4,9578,Gregg Araki,James Duval,Rachel True,Nathan Bexton,Chiara Mastroianni
