Rank,Title,Year,Duration,Genre1,Genre2,Genre3,Rating,Votes,Director,Actor1,Actor2,Actor3,Actor4
39,Bang Boom Bang - Ein todsicheres Ding,1999,110,Action, Comedy, Crime,7.5,10472,Peter Thorwarth,Oliver Korittke,Markus Knüfken,Ralf Richter,Diether Krebs
40,The Mission,1999,84,Action,,,7.5,5816,Johnnie To,Anthony Chau-Sang Wong,Francis Ng,Jackie Chung-yin Lui,Roy Cheung
41,Himalaya,1999,108,Drama,,,7.5,5559,Eric Valli,Michel Debats,Thilen Lhondup,Gurgon Kyap,Lhakpa Tsamchoe
42,Galaxy Quest,1999,102,Adventure, Comedy, Sci-Fi,7.4,168192,Dean Parisot,Tim Allen,Sigourney Weaver,Alan Rickman,Tony Shalhoub
43,The Talented Mr. Ripley,1999,139,Crime, Drama, Thriller,7.4,217639,Anthony Minghella,Matt Damon,Gwyneth Paltrow,Jude Law,Cate Blanchett
44,The Cider House Rules,1999,126,Drama, Romance,,7.4,101711,Lasse Hallström,Tobey Maguire,Charlize Theron,Michael Caine,Delroy Lindo
45,Man on the Moon,1999,118,Biography, Comedy, Drama,7.4,133533,Milos Forman,Jim Carrey,Danny DeVito,Gerry Becker,Greyson Erik Pendry
46,Topsy-Turvy,1999,160,Biography, Comedy, Drama,7.4,13070,Mike Leigh,Jim Broadbent,Allan Corduner,Dexter Fletcher,Sukie Smith
47,Rosetta,1999,95,Drama,,,7.4,14870,Jean-Pierre Dardenne,Luc Dardenne,Émilie Dequenne,Fabrizio Rongione,Anne Yernaux
48,The Wind Will Carry Us,1999,118,Drama,,,7.4,11520,Abbas Kiarostami,Behzad Dorani,Noghre Asadi,Roushan Karam Elmi,Bahman Ghobadi
49,Hum Dil De Chuke Sanam,1999,188,Comedy, Drama, Musical,7.4,19089,Sanjay Leela Bhansali,Aishwarya Rai Bachchan,Salman Khan,Ajay Devgn,Zohra Sehgal
50,Mayis Sikintisi,1999,130,Comedy, Drama,,7.4,6332,Nuri Bilge Ceylan,Emin Ceylan,Muzaffer Özdemir,Fatma Ceylan,Mehmet Emin Toprak
51,10 Things I Hate About You,1999,97,Comedy, Drama, Romance,7.3,354805,Gil Junger,Heath Ledger,Julia Stiles,Joseph Gordon-Levitt,Larisa Oleynik
52,"Girl, Interrupted",1999,127,Biography, Drama,,7.3,195648,James Mangold,Winona Ryder,Angelina Jolie,Clea DuVall,Brittany Murphy
53,Dogma,1999,130,Adventure, Comedy, Drama,7.3,221916,Kevin Smith,Ben Affleck,Matt Damon,Linda Fiorentino,Bud Cort
54,Tarzan,1999,88,Animation, Adventure, Comedy,7.3,233244,Chris Buck,Kevin Lima,Tony Goldwyn,Minnie Driver,Brian Blessed
55,Sleepy Hollow,1999,105,Fantasy, Horror, Mystery,7.3,368307,Tim Burton,Johnny Depp,Christina Ricci,Miranda Richardson,Michael Gambon
56,Election,1999,103,Comedy, Romance,,7.3,99456,Alexander Payne,Matthew Broderick,Reese Witherspoon,Chris Klein,Jessica Campbell
57,Beau travail,1999,92,Drama, War,,7.3,12754,Claire Denis,Denis Lavant,Michel Subor,Grégoire Colin,Richard Courcet
