Ranking,IMDByear,IMDBlink,Title,RunTime,Genre,Rating,Score,Votes,Gross,Director,Cast1,Cast2,Cast3,Cast4
48,2017,https://www.imdb.com/title/tt5607714/?ref_=adv_li_tt,On Body and Soul,116,"Drama, Fantasy, Mystery",7.5,77.0,28605,,Ildikó Enyedi,Alexandra Borbély,Géza Morcsányi,Réka Tenki,Zoltán Schneider
49,2017,https://www.imdb.com/title/tt7469726/?ref_=adv_li_tt,Shaadi Mein Zaroor Aana,137,"Drama, Romance",7.5,,16329,,Ratnaa Sinha,Rajkummar Rao,Kriti Kharbanda,K.K. Raina,Alka Amin
50,2017,https://www.imdb.com/title/tt6002232/?ref_=adv_li_tt,Custody,93,"Drama, Thriller",7.5,83.0,9753,0.08M,Xavier Legrand,Léa Drucker,Denis Ménochet,Thomas Gioria,Mathilde Auneveux
51,2017,https://www.imdb.com/title/tt6967980/?ref_=adv_li_tt,Seeking True Love,116,"Comedy, Romance",7.5,,24473,,Ashwiny Iyer Tiwari,Ayushmann Khurrana,Kriti Sanon,Rajkummar Rao,Pankaj Tripathi
52,2017,https://www.imdb.com/title/tt6335734/?ref_=adv_li_tt,"The Night Is Short, Walk on Girl",92,"Animation, Adventure, Comedy",7.5,65.0,5637,0.41M,Masaaki Yuasa,Gen Hoshino,Kana Hanazawa,Hiroshi Kamiya,Ryûji Akiyama
53,2017,https://www.imdb.com/title/tt6485666/?ref_=adv_li_tt,Mersal,172,"Action, Thriller",7.5,,36049,,Atlee,Joseph Vijay,Nithya Menen,S.J. Suryah,Samantha Ruth Prabhu
54,2017,https://www.imdb.com/title/tt7691572/?ref_=adv_li_tt,Cyborgs: Heroes Never Die,112,"Action, Drama, War",7.5,,7414,,Akhtem Seitablaev,Makar Tikhomirov,Vyacheslav Dovzhenko,Andrey Isaenko,Viktor Zhdanov
55,2017,https://www.imdb.com/title/tt7190460/?ref_=adv_li_tt,Thupparivaalan,151,"Action, Crime, Thriller",7.5,,5090,,Mysskin,Vishal,Simran,Prasanna,Vinay Rai
56,2017,https://www.imdb.com/title/tt6299040/?ref_=adv_li_tt,The Ghazi Attack,116,"Action, Thriller, War",7.5,,13983,,Sankalp Reddy,Rana Daggubati,Kay Kay Menon,Atul Kulkarni,Om Puri
57,2017,https://www.imdb.com/title/tt4425200/?ref_=adv_li_tt,John Wick: Chapter 2,122,"Action, Crime, Thriller",7.4,75.0,464974,92.03M,Chad Stahelski,Keanu Reeves,Riccardo Scamarcio,Ian McShane,Ruby Rose
58,2017,https://www.imdb.com/title/tt4925292/?ref_=adv_li_tt,Lady Bird,94,"Comedy, Drama",7.4,93.0,301355,48.96M,Greta Gerwig,Saoirse Ronan,Laurie Metcalf,Tracy Letts,Lucas Hedges
59,2017,https://www.imdb.com/title/tt2250912/?ref_=adv_li_tt,Spider-Man: Homecoming,133,"Action, Adventure, Sci-Fi",7.4,73.0,673925,334.20M,Jon Watts,Tom Holland,Michael Keaton,Robert Downey Jr.,Marisa Tomei
60,2017,https://www.imdb.com/title/tt0451279/?ref_=adv_li_tt,Wonder Woman,141,"Action, Adventure, Fantasy",7.4,76.0,670670,412.56M,Patty Jenkins,Gal Gadot,Chris Pine,Robin Wright,Lucy Davis
61,2017,https://www.imdb.com/title/tt4555426/?ref_=adv_li_tt,Darkest Hour,125,"Biography, Drama, War",7.4,75.0,207935,56.47M,Joe Wright,Gary Oldman,Lily James,Kristin Scott Thomas,Ben Mendelsohn
62,2017,https://www.imdb.com/title/tt5776858/?ref_=adv_li_tt,Phantom Thread,130,"Drama, Romance",7.4,90.0,137117,21.02M,Paul Thomas Anderson,Vicky Krieps,Daniel Day-Lewis,Lesley Manville,Julie Vollono
63,2017,https://www.imdb.com/title/tt7057496/?ref_=adv_li_tt,Forgotten,108,"Mystery, Thriller",7.4,,38095,,Hang-jun Jang,Kang Ha-neul,Yeon Je Hyung,Mu-Yeol Kim,Na-ra Lee
64,2017,https://www.imdb.com/title/tt4209788/?ref_=adv_li_tt,Molly's Game,140,"Biography, Crime, Drama",7.4,71.0,178109,28.78M,Aaron Sorkin,Jessica Chastain,Idris Elba,Kevin Costner,Michael Cera
65,2017,https://www.imdb.com/title/tt3450958/?ref_=adv_li_tt,War for the Planet of the Apes,140,"Action, Adventure, Drama",7.4,82.0,264582,146.88M,Matt Reeves,Andy Serkis,Woody Harrelson,Steve Zahn,Karin Konoval
66,2017,https://www.imdb.com/title/tt2396589/?ref_=adv_li_tt,Mudbound,134,"Drama, War",7.4,85.0,51320,,Dee Rees,Jason Mitchell,Carey Mulligan,Jason Clarke,Mary J. Blige
67,2017,https://www.imdb.com/title/tt6217608/?ref_=adv_li_tt,The Rider,104,"Drama, Western",7.4,91.0,19768,2.42M,Chloé Zhao,Brady Jandreau,Mooney,Tim Jandreau,Lilly Jandreau
68,2017,https://www.imdb.com/title/tt6135348/?ref_=adv_li_tt,120 BPM,143,Drama,7.4,84.0,16001,0.13M,Robin Campillo,Nahuel Pérez Biscayart,Arnaud Valois,Adèle Haenel,Antoine Reinartz
69,2017,https://www.imdb.com/title/tt5258850/?ref_=adv_li_tt,See You Up There,117,"Comedy, Crime, Drama",7.4,,10305,,Albert Dupontel,Nahuel Pérez Biscayart,Albert Dupontel,Laurent Lafitte,Niels Arestrup
70,2017,https://www.imdb.com/title/tt7213936/?ref_=adv_li_tt,What Will People Say,106,Drama,7.4,69.0,5718,0.04M,Iram Haq,Maria Mozhdah,Adil Hussain,Ekavali Khanna,Rohit Saraf
71,2017,https://www.imdb.com/title/tt6952604/?ref_=adv_li_tt,Arrhythmia,116,Drama,7.4,,5810,,Boris Khlebnikov,Aleksandr Yatsenko,Irina Gorbacheva,Nikolay Shrayber,Maksim Lagashkin
72,2017,https://www.imdb.com/title/tt7159382/?ref_=adv_li_tt,Fidaa,144,"Comedy, Drama, Romance",7.4,,5075,,Sekhar Kammula,Sai Pallavi,Varun Tej,Sarah Uriarte Berry,Harshvardhan Rane
73,2017,https://www.imdb.com/title/tt1396484/?ref_=adv_li_tt,It,135,Horror,7.3,69.0,564350,327.48M,Andy Muschietti,Bill Skarsgård,Jaeden Martell,Finn Wolfhard,Sophia Lillis
74,2017,https://www.imdb.com/title/tt5580390/?ref_=adv_li_tt,The Shape of Water,123,"Drama, Fantasy, Romance",7.3,87.0,430127,63.86M,Guillermo del Toro,Sally Hawkins,Octavia Spencer,Michael Shannon,Doug Jones
75,2017,https://www.imdb.com/title/tt4846232/?ref_=adv_li_tt,Good Time,102,"Crime, Drama, Thriller",7.3,80.0,129547,2.03M,Benny Safdie,Josh Safdie,Robert Pattinson,Benny Safdie,Jennifer Jason Leigh
76,2017,https://www.imdb.com/title/tt4116284/?ref_=adv_li_tt,The Lego Batman Movie,104,"Animation, Action, Adventure",7.3,75.0,157638,175.75M,Chris McKay,Will Arnett,Michael Cera,Rosario Dawson,Ralph Fiennes
77,2017,https://www.imdb.com/title/tt3967856/?ref_=adv_li_tt,Okja,120,"Action, Adventure, Drama",7.3,75.0,125540,,Bong Joon Ho,Tilda Swinton,Paul Dano,Seo-hyun Ahn,Jake Gyllenhaal
78,2017,https://www.imdb.com/title/tt3521126/?ref_=adv_li_tt,The Disaster Artist,104,"Biography, Comedy, Drama",7.3,76.0,157727,21.12M,James Franco,James Franco,Dave Franco,Ari Graynor,Seth Rogen
79,2017,https://www.imdb.com/title/tt4633690/?ref_=adv_li_tt,Shot Caller,121,"Crime, Drama, Thriller",7.3,59.0,90031,,Ric Roman Waugh,Nikolaj Coster-Waldau,Omari Hardwick,Lake Bell,Jon Bernthal
80,2017,https://www.imdb.com/title/tt5390504/?ref_=adv_li_tt,Detroit,143,"Crime, Drama, History",7.3,77.0,54358,16.79M,Kathryn Bigelow,John Boyega,Anthony Mackie,Algee Smith,Jacob Latimore
81,2017,https://www.imdb.com/title/tt3300980/?ref_=adv_li_tt,The 12th Man,135,"Drama, History, Thriller",7.3,70.0,27451,,Harald Zwart,Thomas Gullestad,Jonathan Rhys Meyers,Marie Blokhus,Mads Sjøgård Pettersen
82,2017,https://www.imdb.com/title/tt6763252/?ref_=adv_li_tt,The Captain,118,"Drama, History, Thriller",7.3,67.0,18965,0.11M,Robert Schwentke,Max Hubacher,Alexander Fehling,Sebastian Rudolph,Max Thommes
83,2017,https://www.imdb.com/title/tt5301662/?ref_=adv_li_tt,Marshall,118,"Biography, Crime, Drama",7.3,66.0,25218,10.05M,Reginald Hudlin,Chadwick Boseman,Josh Gad,Kate Hudson,Sterling K. Brown
84,2017,https://www.imdb.com/title/tt5859238/?ref_=adv_li_tt,Lucky,88,"Comedy, Drama",7.3,80.0,24644,0.96M,John Carroll Lynch,Harry Dean Stanton,David Lynch,Ron Livingston,Ed Begley Jr.
85,2017,https://www.imdb.com/title/tt7056732/?ref_=adv_li_tt,Midnight Runners,109,"Action, Comedy, Crime",7.3,,8300,,Joo-hwan Kim,Park Seo-joon,Kang Ha-neul,Ha-seon Park,Dong-il Sung
86,2017,https://www.imdb.com/title/tt5805752/?ref_=adv_li_tt,Brigsby Bear,97,"Comedy, Drama",7.3,67.0,17186,0.53M,Dave McCary,Kyle Mooney,Jorge Lendeborg Jr.,Matt Walsh,Michaela Watkins
87,2017,https://www.imdb.com/title/tt5091612/?ref_=adv_li_tt,A Bag of Marbles,110,"Biography, Drama, History",7.3,55.0,6020,0.41M,Christian Duguay,Dorian Le Clech,Batyste Fleurial,Patrick Bruel,Elsa Zylberstein
88,2017,https://www.imdb.com/title/tt6095616/?ref_=adv_li_tt,Mr & Mme Adelman,120,"Comedy, Drama, Romance",7.3,,5223,,Nicolas Bedos,Doria Tillier,Nicolas Bedos,Denis Podalydès,Antoine Gouy
89,2017,https://www.imdb.com/title/tt5871080/?ref_=adv_li_tt,The Whiskey Bandit,126,"Action, Biography, Crime",7.3,,8983,,Nimród Antal,Bence Szalay,Zoltán Schneider,Viktor Klem,Piroska Móga
90,2017,https://www.imdb.com/title/tt5544384/?ref_=adv_li_tt,Sword Art Online the Movie: Ordinal Scale,119,"Animation, Action, Adventure",7.3,,8488,,Tomohiko Itô,Yoshitsugu Matsuoka,Haruka Tomatsu,Kanae Itô,Ayana Taketatsu
91,2017,https://www.imdb.com/title/tt4964310/?ref_=adv_li_tt,Bet on Revenge,121,"Adventure, Drama, History",7.3,,5888,,Gábor Herendi,Ervin Nagy,Andrea Petrik,Tibor Gáspár,József Gyabronka
92,2017,https://www.imdb.com/title/tt6294822/?ref_=adv_li_tt,The Post,116,"Biography, Drama, History",7.2,83.0,155430,81.90M,Steven Spielberg,Meryl Streep,Tom Hanks,Sarah Paulson,Bob Odenkirk
93,2017,https://www.imdb.com/title/tt2763304/?ref_=adv_li_tt,T2 Trainspotting,117,"Comedy, Drama",7.2,67.0,127586,2.40M,Danny Boyle,Ewan McGregor,Ewen Bremner,Jonny Lee Miller,Robert Carlyle
94,2017,https://www.imdb.com/title/tt4686844/?ref_=adv_li_tt,The Death of Stalin,107,"Comedy, Drama, History",7.2,88.0,106407,8.04M,Armando Iannucci,Steve Buscemi,Simon Russell Beale,Jeffrey Tambor,Andrea Riseborough
95,2017,https://www.imdb.com/title/tt5093026/?ref_=adv_li_tt,Papillon,133,"Adventure, Biography, Crime",7.2,51.0,79194,2.34M,Michael Noer,Charlie Hunnam,Damijan Oklopdzic,Christopher Fairbank,Jason Ryan
96,2017,https://www.imdb.com/title/tt5478478/?ref_=adv_li_tt,Hostiles,134,"Drama, Western",7.2,65.0,89114,29.82M,Scott Cooper,Scott Shepherd,Rosamund Pike,Ava Cooper,Stella Cooper
97,2017,https://www.imdb.com/title/tt1753383/?ref_=adv_li_tt,A Dog's Purpose,100,"Adventure, Comedy, Drama",7.2,43.0,74903,64.51M,Lasse Hallström,Josh Gad,Dennis Quaid,Peggy Lipton,Bryce Gheisar
98,2017,https://www.imdb.com/title/tt7160070/?ref_=adv_li_tt,Along With the Gods: The Two Worlds,139,"Action, Adventure, Drama",7.2,,16874,1.91M,Yong-hwa Kim,Ha Jung-woo,Tae-Hyun Cha,Ju Ji-Hoon,Hyang-gi Kim
99,2017,https://www.imdb.com/title/tt5990474/?ref_=adv_li_tt,Columbus,100,Drama,7.2,89.0,19142,1.02M,Kogonada,John Cho,Haley Lu Richardson,Parker Posey,Michelle Forbes
100,2017,https://www.imdb.com/title/tt3750872/?ref_=adv_li_tt,The Wife,99,Drama,7.2,77.0,41069,9.60M,Björn Runge,Glenn Close,Jonathan Pryce,Max Irons,Christian Slater
101,2017,https://www.imdb.com/title/tt6692354/?ref_=adv_li_tt,Ittefaq,105,"Crime, Mystery, Thriller",7.2,,13206,0.30M,Abhay Chopra,Sidharth Malhotra,Sonakshi Sinha,Akshaye Khanna,Mandira Bedi
102,2017,https://www.imdb.com/title/tt7468056/?ref_=adv_li_tt,Beomjoidosi,121,"Action, Crime, Thriller",7.2,,9700,,Yoon-Seong Kang,Ma Dong-seok,Yoon Kyesang,Jo Jae-yoon,Gwi-hwa Choi
103,2017,https://www.imdb.com/title/tt4882376/?ref_=adv_li_tt,First They Killed My Father,136,"Biography, Drama, History",7.2,72.0,19249,,Angelina Jolie,Sareum Srey Moch,Phoeung Kompheak,Sveng Socheata,Mun Kimhak
104,2017,https://www.imdb.com/title/tt5729348/?ref_=adv_li_tt,Memoir of a Murderer,118,"Action, Crime, Mystery",7.2,,10903,0.09M,Shin-yeon Won,Sol Kyung-gu,Nam-gil Kim,Seol-Hyun Kim,Dal-su Oh
105,2017,https://www.imdb.com/title/tt5639354/?ref_=adv_li_tt,A Fantastic Woman,104,Drama,7.2,85.0,26399,2.02M,Sebastián Lelio,Daniela Vega,Francisco Reyes,Luis Gnecco,Aline Küppenheim
106,2017,https://www.imdb.com/title/tt5690142/?ref_=adv_li_tt,Mom,146,"Crime, Drama, Thriller",7.2,,11102,,Ravi Udyawar,Abhinay Raj Singh,Sridevi,Sajal Ali,Akshaye Khanna
107,2017,https://www.imdb.com/title/tt5340300/?ref_=adv_li_tt,Lean on Pete,121,"Adventure, Drama, Sport",7.2,80.0,13252,1.16M,Andrew Haigh,Charlie Plummer,Amy Seimetz,Travis Fimmel,Steve Buscemi
108,2017,https://www.imdb.com/title/tt6164502/?ref_=adv_li_tt,November,115,"Drama, Fantasy, Horror",7.2,79.0,5498,0.02M,Rainer Sarnet,Rea Lest,Jörgen Liik,Arvo Kukumägi,Katariina Unt
109,2017,https://www.imdb.com/title/tt6537238/?ref_=adv_li_tt,Salyut-7,111,"Action, Drama, History",7.2,,11661,,Klim Shipenko,Vladimir Vdovichenkov,Pavel Derevyanko,Aleksandr Samoylenko,Mariya Mironova
110,2017,https://www.imdb.com/title/tt6673840/?ref_=adv_li_tt,Spacewalk,137,"Drama, History",7.2,,7666,,Dmitriy Kiselev,Evgeniy Mironov,Konstantin Khabenskiy,Vladimir Ilin,Anatoliy Kotenyov
111,2017,https://www.imdb.com/title/tt5222918/?ref_=adv_li_tt,The Other Side of Hope,100,"Comedy, Drama",7.2,84.0,12670,0.18M,Aki Kaurismäki,Sherwan Haji,Sakari Kuosmanen,Kaija Pakarinen,Tuomari Nurmio
112,2017,https://www.imdb.com/title/tt6896536/?ref_=adv_li_tt,Foxtrot,113,Drama,7.2,88.0,7802,0.62M,Samuel Maoz,Lior Ashkenazi,Sarah Adler,Yonaton Shiray,Itay Exlroad
113,2017,https://www.imdb.com/title/tt6207878/?ref_=adv_li_tt,"No Date, No Signature",99,"Drama, Mystery, Thriller",7.2,71.0,5954,0.04M,Vahid Jalilvand,Navid Mohammadzadeh,Amir Aghaee,Hediyeh Tehrani,Zakieh Behbahani
114,2017,https://www.imdb.com/title/tt5982852/?ref_=adv_li_tt,Jolly LLB 2,137,"Comedy, Crime, Drama",7.2,,26131,1.63M,Subhash Kapoor,Akshay Kumar,Huma Qureshi,Saurabh Shukla,Annu Kapoor
115,2017,https://www.imdb.com/title/tt2771200/?ref_=adv_li_tt,Beauty and the Beast,129,"Adventure, Family, Fantasy",7.1,65.0,317008,504.01M,Bill Condon,Emma Watson,Dan Stevens,Luke Evans,Josh Gad
116,2017,https://www.imdb.com/title/tt4995790/?ref_=adv_li_tt,The Square,151,"Comedy, Drama",7.1,73.0,71385,1.50M,Ruben Östlund,Claes Bang,Elisabeth Moss,Dominic West,Terry Notary
117,2017,https://www.imdb.com/title/tt2378507/?ref_=adv_li_tt,The Glass Castle,127,"Biography, Drama",7.1,56.0,35070,17.27M,Destin Daniel Cretton,Brie Larson,Woody Harrelson,Naomi Watts,Ella Anderson
118,2017,https://www.imdb.com/title/tt3532216/?ref_=adv_li_tt,American Made,115,"Action, Comedy, Crime",7.1,65.0,191777,51.34M,Doug Liman,Tom Cruise,Domhnall Gleeson,Sarah Wright,Jesse Plemons
119,2017,https://www.imdb.com/title/tt5657856/?ref_=adv_li_tt,Brawl in Cell Block 99,132,"Action, Crime, Drama",7.1,79.0,70241,,S. Craig Zahler,Vince Vaughn,Jennifer Carpenter,Don Johnson,Udo Kier
120,2017,https://www.imdb.com/title/tt5716464/?ref_=adv_li_tt,Breathe,118,"Biography, Drama, Romance",7.1,51.0,23532,0.49M,Andy Serkis,Andrew Garfield,Claire Foy,Hugh Bonneville,Ed Speleers
121,2017,https://www.imdb.com/title/tt6053438/?ref_=adv_li_tt,First Reformed,113,"Drama, Mystery, Thriller",7.1,85.0,58964,3.45M,Paul Schrader,Ethan Hawke,Amanda Seyfried,Cedric the Entertainer,Victoria Hill
122,2017,https://www.imdb.com/title/tt1653665/?ref_=adv_li_tt,Goodbye Christopher Robin,107,"Biography, Drama, Family",7.1,54.0,28428,1.74M,Simon Curtis,Domhnall Gleeson,Margot Robbie,Kelly Macdonald,Vicki Pepperdine
123,2017,https://www.imdb.com/title/tt5723272/?ref_=adv_li_tt,In the Fade,106,"Crime, Drama, Thriller",7.1,65.0,34189,0.32M,Fatih Akin,Numan Acar,Adam Bousdoukos,Diane Kruger,Denis Moschitto
124,2017,https://www.imdb.com/title/tt4899370/?ref_=adv_li_tt,Megan Leavey,116,"Action, Biography, Drama",7.1,66.0,24874,13.41M,Gabriela Cowperthwaite,Kate Mara,Ramón Rodríguez,Tom Felton,Bradley Whitford
125,2017,https://www.imdb.com/title/tt5897636/?ref_=adv_li_tt,Summer 1993,97,"Drama, Family",7.1,81.0,7803,0.18M,Carla Simón,Laia Artigas,Paula Robles,Bruna Cusí,David Verdaguer
126,2017,https://www.imdb.com/title/tt5969696/?ref_=adv_li_tt,The Battleship Island,132,"Action, Drama, History",7.1,60.0,7731,,Seung-wan Ryu,Hwang Jung-min,So Ji-seob,Song Joong-ki,Lee Jung-hyun
127,2017,https://www.imdb.com/title/tt5460276/?ref_=adv_li_tt,Kaabil,139,"Action, Crime, Drama",7.1,,27826,,Sanjay Gupta,Hrithik Roshan,Yami Gautam,Ronit Roy,Rohit Roy
128,2017,https://www.imdb.com/title/tt6769508/?ref_=adv_li_tt,Steel Rain,139,"Action, Drama, Thriller",7.1,,6057,,Woo-seok Yang,Jung Woo-sung,Kwak Do-won,Kim Kap-su,Kim Eui-sung
129,2017,https://www.imdb.com/title/tt5883570/?ref_=adv_li_tt,Bodied,120,"Comedy, Drama, Music",7.1,75.0,5833,0.11M,Joseph Kahn,Calum Worthy,Jackie Long,Rory Uphold,Jon Park
130,2017,https://www.imdb.com/title/tt5785170/?ref_=adv_li_tt,Toilet: A Love Story,155,"Comedy, Drama, Romance",7.1,,22219,1.83M,Shree Narayan Singh,Anupam Kher,Akshay Kumar,Bhumi Pednekar,Sana Khan
131,2017,https://www.imdb.com/title/tt7399470/?ref_=adv_li_tt,Qarib Qarib Single,125,"Comedy, Romance",7.1,,8797,,Tanuja Chandra,Irrfan Khan,Parvathy Thiruvothu,Neha Dhupia,Isha Sharvani
132,2017,https://www.imdb.com/title/tt5715874/?ref_=adv_li_tt,The Killing of a Sacred Deer,121,"Drama, Horror, Mystery",7.0,73.0,162374,2.29M,Yorgos Lanthimos,Barry G. Bernson,Herb Caillouet,Bill Camp,Raffey Cassidy
133,2017,https://www.imdb.com/title/tt5439796/?ref_=adv_li_tt,Logan Lucky,118,"Action, Comedy, Crime",7.0,78.0,154481,27.78M,Steven Soderbergh,Channing Tatum,Adam Driver,Daniel Craig,Farrah Mackenzie
134,2017,https://www.imdb.com/title/tt1987680/?ref_=adv_li_tt,The Upside,126,"Comedy, Drama",7.0,46.0,58529,108.25M,Neil Burger,Kevin Hart,Bryan Cranston,Nicole Kidman,Aja Naomi King
135,2017,https://www.imdb.com/title/tt1615160/?ref_=adv_li_tt,The Foreigner,113,"Action, Thriller",7.0,55.0,117793,34.39M,Martin Campbell,Katie Leung,Jackie Chan,Rufus Jones,Mark Tandy
136,2017,https://www.imdb.com/title/tt6304046/?ref_=adv_li_tt,Thelma,116,"Drama, Fantasy, Horror",7.0,74.0,34104,0.15M,Joachim Trier,Eili Harboe,Kaya Wilkins,Henrik Rafaelsen,Ellen Dorrit Petersen
137,2017,https://www.imdb.com/title/tt6133130/?ref_=adv_li_tt,Professor Marston & the Wonder Women,108,"Biography, Drama, History",7.0,68.0,27212,1.59M,Angela Robinson,Luke Evans,Rebecca Hall,Bella Heathcote,Connie Britton
138,2017,https://www.imdb.com/title/tt1730768/?ref_=adv_li_tt,The Zookeeper's Wife,127,"Biography, Drama, History",7.0,57.0,44581,17.45M,Niki Caro,Jessica Chastain,Johan Heldenbergh,Daniel Brühl,Timothy Radford
139,2017,https://www.imdb.com/title/tt7063210/?ref_=adv_li_tt,The Place,105,"Drama, Mystery, Thriller",7.0,,11972,,Paolo Genovese,Valerio Mastandrea,Marco Giallini,Alessandro Borghi,Silvio Muccino
140,2017,https://www.imdb.com/title/tt6225520/?ref_=adv_li_tt,The Man Who Invented Christmas,104,"Biography, Comedy, Drama",7.0,60.0,17432,5.68M,Bharat Nalluri,Dan Stevens,Mark Schrier,Patrick Joseph Byrnes,Miriam Margolyes
141,2017,https://www.imdb.com/title/tt4299300/?ref_=adv_li_tt,My Blind Date with Life,111,"Biography, Comedy, Drama",7.0,,5511,,Marc Rothemund,Kostja Ullmann,Jacob Matschenz,Anna Maria Mühe,Johann von Bülow
142,2017,https://www.imdb.com/title/tt6791730/?ref_=adv_li_tt,Tumhari Sulu,150,"Comedy, Drama",7.0,,5365,,Suresh Triveni,Vidya Balan,Manav Kaul,Neha Dhupia,Vijay Maurya
143,2017,https://www.imdb.com/title/tt5983262/?ref_=adv_li_tt,Tikli and Laxmi Bomb,151,Drama,7.0,,7323,,Aditya Kripalani,Vibhawari Deshpande,Chitrangada Satarupa,Suchitra Pillai,Upendra Limaye
144,2017,https://www.imdb.com/title/tt2283362/?ref_=adv_li_tt,Jumanji: Welcome to the Jungle,119,"Action, Adventure, Comedy",6.9,58.0,393341,404.52M,Jake Kasdan,Dwayne Johnson,Karen Gillan,Kevin Hart,Jack Black
145,2017,https://www.imdb.com/title/tt2527336/?ref_=adv_li_tt,Star Wars: Episode VIII - The Last Jedi,152,"Action, Adventure, Fantasy",6.9,84.0,643848,620.18M,Rian Johnson,Daisy Ridley,John Boyega,Mark Hamill,Carrie Fisher
146,2017,https://www.imdb.com/title/tt1959563/?ref_=adv_li_tt,The Hitman's Bodyguard,118,"Action, Comedy, Crime",6.9,47.0,236833,75.47M,Patrick Hughes,Ryan Reynolds,Samuel L. Jackson,Gary Oldman,Elodie Yung
147,2017,https://www.imdb.com/title/tt5710514/?ref_=adv_li_tt,I Don't Feel at Home in This World Anymore,93,"Comedy, Crime, Drama",6.9,75.0,60543,,Macon Blair,Melanie Lynskey,Chris Doubek,Marilyn Faith Hickey,Jared Roylance
148,2017,https://www.imdb.com/title/tt5536736/?ref_=adv_li_tt,The Meyerowitz Stories,112,"Comedy, Drama",6.9,79.0,51497,,Noah Baumbach,Adam Sandler,Grace Van Patten,Dustin Hoffman,Elizabeth Marvel
149,2017,https://www.imdb.com/title/tt3881784/?ref_=adv_li_tt,Stronger,119,"Biography, Drama",6.9,76.0,46749,4.21M,David Gordon Green,Jake Gyllenhaal,Tatiana Maslany,Miranda Richardson,Richard Lane Jr.
150,2017,https://www.imdb.com/title/tt5034266/?ref_=adv_li_tt,Our Souls at Night,103,"Drama, Romance",6.9,69.0,14182,,Ritesh Batra,Robert Redford,Jane Fonda,Matthias Schoenaerts,Iain Armitage
151,2017,https://www.imdb.com/title/tt6018306/?ref_=adv_li_tt,Last Flag Flying,125,"Comedy, Drama, War",6.9,65.0,26657,0.97M,Richard Linklater,Bryan Cranston,Laurence Fishburne,Steve Carell,J. Quinton Johnson
152,2017,https://www.imdb.com/title/tt5727282/?ref_=adv_li_tt,Borg vs. McEnroe,107,"Biography, Drama, Sport",6.9,63.0,32988,14.11M,Janus Metz,Sverrir Gudnason,Shia LaBeouf,Stellan Skarsgård,Tuva Novotny
153,2017,https://www.imdb.com/title/tt4823434/?ref_=adv_li_tt,Tigers Are Not Afraid,83,"Fantasy, Horror, Mystery",6.9,76.0,7973,0.13M,Issa López,Paola Lara,Juan Ramón López,Nery Arredondo,Hanssel Casillas
154,2017,https://www.imdb.com/title/tt6101820/?ref_=adv_li_tt,Perfect Strangers,97,"Comedy, Drama",6.9,,14702,1.01M,Álex de la Iglesia,Belén Rueda,Eduard Fernández,Ernesto Alterio,Juana Acosta
155,2017,https://www.imdb.com/title/tt6958212/?ref_=adv_li_tt,Sweet Country,113,"Adventure, Crime, Drama",6.9,88.0,8852,0.10M,Warwick Thornton,Hamilton Morris,Shanika Cole,Ewen Leslie,Sam Neill
156,2017,https://www.imdb.com/title/tt5157682/?ref_=adv_li_tt,The Climb,103,"Comedy, Drama, Romance",6.9,,7925,,Ludovic Bernard,Ahmed Sylla,Alice Belaïdi,Kévin Razy,Nicolas Wanczycki
157,2017,https://www.imdb.com/title/tt2782692/?ref_=adv_li_tt,Ali's Wedding,110,"Comedy, Drama, Romance",6.9,64.0,5226,,Jeffrey Walker,Osamah Sami,Don Hany,Helana Sawires,Robert Rabiah
158,2017,https://www.imdb.com/title/tt6971752/?ref_=adv_li_tt,Shubh Mangal Savdhan,119,"Comedy, Romance",6.9,,10618,0.69M,R.S. Prasanna,Ayushmann Khurrana,Bhumi Pednekar,Seema Pahwa,Anshul Chauhan
159,2017,https://www.imdb.com/title/tt5996836/?ref_=adv_li_tt,The Great Father,151,"Action, Crime, Drama",6.9,,7783,,Haneef Adeni,Mammootty,Arya,Sneha,Anikha Surendran
160,2017,https://www.imdb.com/title/tt1536537/?ref_=adv_li_tt,What Happened to Monday,123,"Action, Crime, Fantasy",6.8,47.0,127263,,Tommy Wirkola,Noomi Rapace,Glenn Close,Willem Dafoe,Marwan Kenzari
161,2017,https://www.imdb.com/title/tt5294550/?ref_=adv_li_tt,All the Money in the World,132,"Biography, Crime, Drama",6.8,72.0,87428,25.11M,Ridley Scott,Michelle Williams,Christopher Plummer,Mark Wahlberg,Romain Duris
162,2017,https://www.imdb.com/title/tt6265828/?ref_=adv_li_tt,A Ghost Story,92,"Drama, Fantasy, Romance",6.8,84.0,74926,1.60M,David Lowery,Casey Affleck,Rooney Mara,McColm Cephas Jr.,Kenneisha Thompson
163,2017,https://www.imdb.com/title/tt5541240/?ref_=adv_li_tt,To the Bone,107,Drama,6.8,64.0,51698,,Marti Noxon,Rebekah Kennedy,Lily Collins,Dana L. Wilson,Ziah Colon
164,2017,https://www.imdb.com/title/tt1880399/?ref_=adv_li_tt,Kodachrome,105,Drama,6.8,57.0,18130,,Mark Raso,Ed Harris,Jason Sudeikis,Elizabeth Olsen,Bruce Greenwood
165,2017,https://www.imdb.com/title/tt5628302/?ref_=adv_li_tt,Beast,107,"Crime, Drama, Mystery",6.8,74.0,14525,0.80M,Michael Pearce,Jessie Buckley,Geraldine James,Oliver Maltman,Trystan Gravelle
