Ranking,IMDByear,IMDBlink,Title,RunTime,Genre,Rating,Score,Votes,Gross,Director,Cast1,Cast2,Cast3,Cast4
99,1998,https://www.imdb.com/title/tt0129290/?ref_=adv_li_tt,Patch Adams,115,"Biography, Comedy, Drama",6.8,25.0,117285,135.03M,Tom Shadyac,Robin Williams,Daniel London,Monica Potter,Philip Seymour Hoffman
100,1998,https://www.imdb.com/title/tt0154421/?ref_=adv_li_tt,The Idiots,117,"Comedy, Drama",6.8,47.0,32628,0.01M,Lars von Trier,Bodil Jørgensen,Jens Albinus,Anne Louise Hassing,Troels Lyby
101,1998,https://www.imdb.com/title/tt0127357/?ref_=adv_li_tt,Who Am I?,108,"Action, Adventure, Comedy",6.8,,41244,,Benny Chan,Jackie Chan,Jackie Chan,Michelle Ferre,Mirai Yamamoto
102,1998,https://www.imdb.com/title/tt0124879/?ref_=adv_li_tt,Simon Birch,114,"Comedy, Drama, Family",6.8,39.0,21705,18.25M,Mark Steven Johnson,Ian Michael Smith,Joseph Mazzello,Ashley Judd,Oliver Platt
103,1998,https://www.imdb.com/title/tt0118798/?ref_=adv_li_tt,Bulworth,108,"Comedy, Drama, Romance",6.8,75.0,26655,26.53M,Warren Beatty,Warren Beatty,Halle Berry,Kimberly Deauna Adams,Vinny Argiro
104,1998,https://www.imdb.com/title/tt0138414/?ref_=adv_li_tt,Edge of Seventeen,99,"Comedy, Drama, Romance",6.8,67.0,6841,0.87M,David Moreton,Chris Stafford,Tina Holmes,Andersen Gabrych,Stephanie McVay
105,1998,https://www.imdb.com/title/tt0120868/?ref_=adv_li_tt,"Torrente, el brazo tonto de la ley",97,"Comedy, Crime",6.8,,12904,,Santiago Segura,Santiago Segura,Javier Cámara,Neus Asensi,Chus Lampreave
106,1998,https://www.imdb.com/title/tt0149723/?ref_=adv_li_tt,Besieged,93,"Drama, Romance",6.8,,5098,2.03M,Bernardo Bertolucci,Thandiwe Newton,David Thewlis,Claudio Santamaria,John C. Ojwang
107,1998,https://www.imdb.com/title/tt0120591/?ref_=adv_li_tt,Armageddon,151,"Action, Adventure, Sci-Fi",6.7,42.0,434219,201.57M,Michael Bay,Bruce Willis,Billy Bob Thornton,Ben Affleck,Liv Tyler
108,1998,https://www.imdb.com/title/tt0128853/?ref_=adv_li_tt,You've Got Mail,119,"Comedy, Drama, Romance",6.7,57.0,219518,115.82M,Nora Ephron,Tom Hanks,Meg Ryan,Greg Kinnear,Parker Posey
109,1998,https://www.imdb.com/title/tt0119314/?ref_=adv_li_tt,The Horse Whisperer,169,"Drama, Romance, Western",6.7,65.0,42224,75.38M,Robert Redford,Robert Redford,Kristin Scott Thomas,Sam Neill,Dianne Wiest
110,1998,https://www.imdb.com/title/tt0120148/?ref_=adv_li_tt,Sliding Doors,99,"Comedy, Drama, Fantasy",6.7,59.0,68871,11.88M,Peter Howitt,Gwyneth Paltrow,John Hannah,John Lynch,Jeanne Tripplehorn
